taxonid_iucn,scientific_name,subspecies,rank,subpopulation,threatCategory,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason,decimalLongitude,decimalLatitude,climate
22703535,Eleoscytalopus psychopompus,,,,EN,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Eleoscytalopus,Bahia Tapaculo,"(Teixeira & Carnevalli, 1989)",2017,2016-10-01,EN,C2a(i),Decreasing,False,False,True,BirdLife International,"Butchart, S.H.M. & Symes, A.",,8200,200.0,15.0,,,,,True,Map revised.,-40.207333,-14.365025,BSh Arid-Steppe-Hot
56391,Eleutherodactylus acmonis,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Cuban Red-rumped Frog,"Schwartz, 1960",2004,2004-04-30,EN,B1ab(iii),Decreasing,False,False,True,"Blair Hedges, Luis Díaz","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,,,,,,,,,-74.5733,20.3525,Aw Tropical-Savanna
56404,Eleutherodactylus alcoae,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Barahona Rock Frog,"Schwartz, 1971",2013,2011-03-24,EN,B1ab(iii),Unknown,False,False,True,IUCN SSC Amphibian Specialist Group,"Cox, N.A.",,1732.26,600.0,0.0,,,,,,,-71.6530807379321,17.977189093002263,BSh Arid-Steppe-Hot
56416,Eleutherodactylus andrewsi,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Jamaican Rump-spotted Frog,"Lynn, 1937",2021,2020-06-19,EN,B1ab(iii),Decreasing,False,False,True,IUCN SSC Amphibian Specialist Group,"Luedtke, J.",,221.4,1970.0,400.0,,,,,,,-77.333333,18.3,Af Tropical-Rainforest
56440,Eleutherodactylus auriculatoides,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Northern Hammer Frog,"Noble, 1923",2004,2004-04-30,EN,B1ab(iii),Decreasing,False,False,True,"Blair Hedges, Sixto Inchaustegui, Marcelino Hernandez, Robert Powell","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,,,,,,,,,-70.605301,19.0578,Af Tropical-Rainforest
29471,Eleutherodactylus casparii,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Trinidad Flat-headed Frog,"Dunn, 1926",2004,2004-04-30,EN,B1ab(iii),Decreasing,False,False,True,"Blair Hedges, Luis Díaz","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,,,,,,,,,-77.683333,19.916667,Aw Tropical-Savanna
56527,Eleutherodactylus counouspeus,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Yellow Cave Frog,"Schwartz, 1964",2004,2004-04-30,EN,B1ab(iii),Decreasing,False,False,True,"Blair Hedges, Richard Thomas, Robert Powell","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,,,,,,,,,-73.867798,18.312201,Aw Tropical-Savanna
56578,Eleutherodactylus emiliae,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Trinidad Groin-spotted Frog,"Dunn, 1926",2004,2004-04-30,EN,B1ab(iii)+2ab(iii),Decreasing,False,False,True,"Blair Hedges, Luis Díaz","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,,,,,,,,,-80.1667,22.0667,Aw Tropical-Savanna
56590,Eleutherodactylus etheridgei,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Oriente Coastal Frog,"Schwartz, 1958",2010,2008-11-10,EN,B1ab(iii)+2ab(iii),Stable,False,False,True,"Blair Hedges, Luis Díaz","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,151.0,0.0,,,,,,,-75.126198,19.9268,
56616,Eleutherodactylus glamyrus,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,,"Estrada &amp; Hedges, 1997",2004,2004-04-30,EN,B1ab(iii),Decreasing,False,False,True,"Blair Hedges, Luis Díaz","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,,,,,,,,,-76.8333,19.9833,Aw Tropical-Savanna
56621,Eleutherodactylus glaucoreius,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Blue Mountain Rockfrog,"Schwartz &amp; Fowler, 1973",2021,2020-07-01,EN,B1ab(iii),Decreasing,False,False,True,IUCN SSC Amphibian Specialist Group,"Luedtke, J.",,2159.03,1650.0,0.0,,,,,,,-76.446409,17.970798,Am Tropical-Monsoon
56627,Eleutherodactylus grahami,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Yellow Chevronate Frog,"Schwartz, 1979",2004,2004-04-30,EN,B1ab(iii),Decreasing,False,False,True,"Blair Hedges, Richard Thomas","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,,,,,,,,,-72.7697,19.4586,
56632,Eleutherodactylus greyi,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Cuban Gray Frog,"Dunn, 1926",2004,2004-04-30,EN,B1ab(iii),Decreasing,False,False,True,"Blair Hedges, Luis Díaz","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,,,,,,,,,-77.683333,19.916667,Aw Tropical-Savanna
78496612,Eleutherodactylus grunwaldi,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Grünwald’s Piping Frog,"Reyes-Velasco, Ahumada-Carrillo, Burkhardt &amp; Devitt, 2015",2020,2019-10-24,EN,B1ab(iii),Stable,False,False,True,IUCN SSC Amphibian Specialist Group,"Chanson, J.S.",,196,2200.0,800.0,,,,,,,-103.973973,19.564966,Aw Tropical-Savanna
56642,Eleutherodactylus gundlachi,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Turquino Spiny Frog,"Schmidt, 1920",2010,2008-11-10,EN,B1ab(iii),Stable,False,False,True,"Blair Hedges, Luis Díaz","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,1375.0,650.0,,,,,,,-75.15,20.2833,Aw Tropical-Savanna
56648,Eleutherodactylus hedricki,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Hedrick's Coqui,"Rivero, 1963",2021,2020-06-30,EN,"B1ab(iii,v)",Decreasing,False,False,True,IUCN SSC Amphibian Specialist Group,"Luedtke, J.",,428.5,1152.0,455.0,,,,,,,-65.791274,18.310509,Af Tropical-Rainforest
56659,Eleutherodactylus hypostenor,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Baoruco Burrowing Frog,"Schwartz, 1965",2004,2004-04-30,EN,B1ab(iii),Decreasing,False,False,True,"Blair Hedges, Sixto Inchaustegui, Richard Thomas, Robert Powell","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,,,,,,,,,-71.2633419787601,18.117432467353236,BSh Arid-Steppe-Hot
56677,Eleutherodactylus ionthus,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Oriente Treefrog,"Schwartz, 1960",2010,2008-11-10,EN,B1ab(iii),Stable,False,False,True,"Blair Hedges, Luis Díaz","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,1230.0,0.0,,,,,,,-76.83,19.98,Aw Tropical-Savanna
56693,Eleutherodactylus klinikowskii,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Barred Rockfrog,"Schwartz, 1959",2004,2004-04-30,EN,B1ab(iii),Decreasing,False,False,True,"Blair Hedges, Luis Díaz","Global Amphibian Assessment Coordinating Team (Simon Stuart, Janice Chanson, Neil Cox and Bruce Young)",,,,,,,,,,,-83.9708,22.4106,Aw Tropical-Savanna
56711,Eleutherodactylus lentus,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Virgin Islands Robber Frog,"(Cope, 1862)",2021,2020-08-25,EN,B1ab(iii),Decreasing,False,False,True,IUCN SSC Amphibian Specialist Group,"Luedtke, J.",,2315,10.0,0.0,,,,,,,-64.939869,18.350324,
56733,Eleutherodactylus luteolus,,,,EN,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Jamaican Masked Frog,"(Gosse, 1851)",2021,2020-07-01,EN,B1ab(iii),Decreasing,False,False,True,IUCN SSC Amphibian Specialist Group,"Luedtke, J.",,2102.4,680.0,0.0,,,,,,,-76.76667,18.05,Am Tropical-Monsoon
